Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,27,1762,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,45,3900,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,51,1595,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,30,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Front,Male,39,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Back,Female,39,1796,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,56,1762,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,23,2497,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Moving off,Offside,Female,62,1332,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,19,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,35,10824,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,37,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Reversing,Back,Female,21,2000,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Offside,Male,39,1762,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1396,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,20,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,20,1396,Light
2,Roundabout,30,Daylight,Raining no high winds,Wet or damp,Urban,Slowing or stopping,Front,Male,43,1896,Light
2,Roundabout,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,43,1973,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,35,1993,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,28,1332,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,40,1762,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,22,11967,Light
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,42,1598,Light
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,20,1598,Light
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,74,1229,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1896,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,26,1364,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,36,1896,Light
3,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,38,1124,Light
3,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,66,1783,Light
3,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,68,1999,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,23,1997,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,53,1762,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Moving off,Front,Female,37,2685,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,34,1595,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,24,1905,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,22,1242,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,17,1242,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,59,7300,Light
3,Single carriageway,30,Daylight,Raining no high winds,Dry,Urban,Going ahead,Front,Female,61,1783,Light
3,Single carriageway,30,Daylight,Raining no high winds,Dry,Urban,Going ahead,Back,Male,74,1124,Light
3,Single carriageway,30,Daylight,Raining no high winds,Dry,Urban,Going ahead,Back,Male,48,1597,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Nearside,Male,45,1284,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,28,1762,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,33,1598,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,19,1341,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,53,1560,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Reversing,Back,Male,35,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,24,1596,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,U turn,Offside,Male,27,1900,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,37,1762,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,24,1370,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Back,Male,40,2498,Light
3,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,50,1753,Light
3,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,41,1598,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,55,1905,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,30,1595,Light
3,One way street,20,Daylight,Fine no high winds,Dry,Urban,Parked,Nearside,Female,30,1124,Light
3,One way street,20,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Female,22,1497,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,54,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Female,46,2993,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,18,1108,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,20,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,58,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,35,1389,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,45,1199,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,32,1240,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,19,1995,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,44,1242,Severe
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,26,1896,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Back,Female,30,1396,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Offside,Male,55,1895,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,58,1995,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,20,1299,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Male,20,1250,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,21,1242,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,22,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Female,32,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,25,1974,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,30,1149,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,28,2494,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,44,1108,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Front,Female,47,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Female,52,1299,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,67,1392,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Parked,Back,Male,40,1998,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,44,2402,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,58,1998,Light
2,Dual carriageway,50,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,23,1796,Light
2,Dual carriageway,50,Daylight,Raining no high winds,Wet or damp,Urban,Slowing or stopping,Back,Female,41,1198,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,33,1896,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,52,1392,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,40,2402,Light
2,Roundabout,30,Daylight,Raining no high winds,Wet or damp,Urban,Moving off,Nearside,Male,19,1399,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,42,1783,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,34,1905,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Rural,Moving off,Front,Male,61,2967,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1896,Light
2,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,34,1870,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Female,30,1686,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,23,1199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Going ahead,Offside,Male,21,1781,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Going ahead,Front,Female,28,1198,Severe
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,23,1397,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,23,1360,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,34,1905,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,39,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,30,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,26,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,22,1905,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,47,1560,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,56,2500,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,43,1391,Light
2,Single carriageway,60,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Back,Female,22,1199,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,40,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,27,1527,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,31,1590,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,44,1590,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,22,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1493,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,60,1349,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Male,33,1390,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Male,35,1686,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,47,2446,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,53,2500,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,40,1392,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,24,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,62,1391,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Female,25,2495,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Waiting,Back,Female,35,1149,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Waiting,Back,Female,58,1198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,45,1975,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,30,1999,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,22,1108,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,46,7300,Light
2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Offside,Female,72,1242,Light
2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,60,1242,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,61,1796,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,78,1360,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,28,1497,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,43,1794,Light
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,29,1796,Light
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,40,1596,Light
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,40,2720,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,36,1762,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,29,1595,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Male,18,1242,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Rural,Parked,Offside,Female,40,1999,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,40,1796,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,32,1360,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,52,11946,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,45,1794,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Nearside,Male,23,1781,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,41,2200,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,65,1298,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,59,1497,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,37,1587,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,32,1998,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,44,2151,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,18,1598,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Parked,Back,Male,40,1242,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Parked,Back,Female,30,1598,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,58,2148,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,38,1998,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,22,1242,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Nearside,Male,34,1248,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Offside,Male,20,1797,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Overtaking,Nearside,Male,43,1399,Light
2,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Going ahead,Front,Female,23,1108,Light
2,Single carriageway,30,Daylight,Fine and high winds,Wet or damp,Urban,Waiting,Back,Female,24,1275,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Turning,Offside,Male,28,1799,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Going ahead,Nearside,Female,49,1910,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,21,1598,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,33,1598,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,40,1388,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,21,1497,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,35,1998,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,48,7200,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,32,1998,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,47,1389,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,35,1796,Severe
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,25,1995,Severe
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,31,1998,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,23,1240,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,35,1598,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,38,1399,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,32,1599,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Female,46,1799,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,19,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,34,1398,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,21,1587,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,66,3920,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Offside,Male,19,1149,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,35,2435,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Offside,Female,57,1229,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Male,60,1386,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Female,41,1997,Severe
3,Dual carriageway,50,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Changing lane,Back,Male,35,1587,Light
3,Dual carriageway,50,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,43,1600,Light
3,Dual carriageway,50,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,44,1242,Light
2,Roundabout,40,Darkness lights lit,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Male,28,1396,Light
2,Roundabout,40,Darkness lights lit,Fine no high winds,Wet or damp,Rural,Changing lane,Nearside,Male,37,1995,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,40,1686,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,38,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,52,1587,Light
2,Single carriageway,30,Darkness lights unlit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,52,1124,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,26,1896,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Front,Female,35,1910,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,19,1360,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,66,2179,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Rural,Waiting,Front,Male,36,7146,Light
2,Slip road,50,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,28,1360,Light
2,Slip road,50,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,21,1149,Light
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,38,1389,Severe
2,Dual carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,20,1242,Severe
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,19,1986,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,31,1796,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Male,46,2401,Light
2,Slip road,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1800,Light
2,Slip road,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Waiting,Back,Male,45,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,20,2283,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,33,1108,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,63,1199,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,41,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Offside,Male,20,1330,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Male,48,2231,Severe
2,Single carriageway,30,Daylight,Fine and high winds,Dry,Urban,Going ahead,Front,Male,30,11967,Light
2,Single carriageway,30,Daylight,Fine and high winds,Dry,Urban,Waiting,Back,Female,35,1753,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,39,2831,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Offside,Male,45,1686,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Offside,Male,20,1896,Severe
3,Single carriageway,60,Daylight,Snowing and high winds,Snow,Rural,Going ahead,Front,Male,40,1997,Light
3,Single carriageway,60,Daylight,Snowing and high winds,Snow,Rural,Going ahead,Front,Male,27,1400,Light
3,Single carriageway,60,Daylight,Snowing and high winds,Snow,Rural,Going ahead,Front,Female,20,1196,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Front,Female,18,1299,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Offside,Male,40,2402,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Turning,Front,Male,32,1497,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Female,37,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Offside,Male,75,1389,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,35,3900,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,18,1242,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,35,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,40,1910,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,45,2496,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,40,1150,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,22,7300,Light
2,Single carriageway,30,Darkness lights unlit,Fine no high winds,Dry,Urban,Turning,Front,Female,50,1905,Light
2,Single carriageway,30,Darkness lights unlit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,46,1870,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,35,2300,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Front,Male,30,1388,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Going ahead,Front,Male,23,1986,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Rural,Moving off,Back,Female,37,1896,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,26,1997,Light
