Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,32,1390,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,56,1391,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Nearside,Male,40,1794,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Rural,Changing lane,Offside,Male,25,1600,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,27,1149,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Nearside,Male,40,2151,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,41,1995,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Nearside,Male,24,1396,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,48,1998,Light
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Front,Male,19,1368,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,46,1598,Severe
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Nearside,Male,67,1686,Severe
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Nearside,Male,67,1389,Severe
2,Roundabout,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Female,20,1996,Light
2,Roundabout,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,24,1389,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Offside,Female,29,1997,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,63,6871,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Offside,Male,21,1999,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Overtaking,Front,Female,50,1242,Light
